Date,Indicador,Valor
14/6/2015,Temperatura,28.79
15/6/2015,Temperatura,28.72
16/6/2015,Temperatura,29.75
17/6/2015,Temperatura,29.58
18/6/2015,Temperatura,28.83
19/6/2015,Temperatura,29.48
20/6/2015,Temperatura,29.78
21/6/2015,Temperatura,28.22
22/6/2015,Temperatura,29.47
23/6/2015,Temperatura,29.19
24/6/2015,Temperatura,30.08
25/6/2015,Temperatura,30.46
26/6/2015,Temperatura,30.19
27/6/2015,Temperatura,29.66
28/6/2015,Temperatura,29.6
29/6/2015,Temperatura,28.64
30/6/2015,Temperatura,28.05
1/7/2015,Temperatura,29.65
2/7/2015,Temperatura,30
3/7/2015,Temperatura,29.56
4/7/2015,Temperatura,29.67
5/7/2015,Temperatura,30.12
6/7/2015,Temperatura,29.56
7/7/2015,Temperatura,26.55
8/7/2015,Temperatura,27.33
9/7/2015,Temperatura,26.62
10/7/2015,Temperatura,27.42
11/7/2015,Temperatura,26.68
12/7/2015,Temperatura,28.21
13/7/2015,Temperatura,27.91
14/7/2015,Temperatura,27.44
15/7/2015,Temperatura,28.85
16/7/2015,Temperatura,28.98
17/7/2015,Temperatura,28.81
18/7/2015,Temperatura,26.79
19/7/2015,Temperatura,27.39
20/7/2015,Temperatura,28.3
21/7/2015,Temperatura,28.12
22/7/2015,Temperatura,28.07
23/7/2015,Temperatura,26.6
24/7/2015,Temperatura,28.53
25/7/2015,Temperatura,30.04
26/7/2015,Temperatura,30.03
27/7/2015,Temperatura,29.39
28/7/2015,Temperatura,29.55
29/7/2015,Temperatura,28.44
30/7/2015,Temperatura,27.85
31/7/2015,Temperatura,29.08
1/8/2015,Temperatura,29.43
2/8/2015,Temperatura,29.95
3/8/2015,Temperatura,29.67
4/8/2015,Temperatura,29.98
5/8/2015,Temperatura,30.4
6/8/2015,Temperatura,29.75
7/8/2015,Temperatura,30.22
8/8/2015,Temperatura,29.77
9/8/2015,Temperatura,28.83
10/8/2015,Temperatura,27.45
11/8/2015,Temperatura,27.7
12/8/2015,Temperatura,29.23
13/8/2015,Temperatura,30.17
14/8/2015,Temperatura,29.23
15/8/2015,Temperatura,28.9
16/8/2015,Temperatura,27.53
17/8/2015,Temperatura,29.57
18/8/2015,Temperatura,29.47
19/8/2015,Temperatura,29.61
20/8/2015,Temperatura,29.87
21/8/2015,Temperatura,29.63
22/8/2015,Temperatura,28.86
23/8/2015,Temperatura,29.14
24/8/2015,Temperatura,29.96
25/8/2015,Temperatura,28.41
26/8/2015,Temperatura,29.35
27/8/2015,Temperatura,28.81
28/8/2015,Temperatura,29.98
29/8/2015,Temperatura,30.08
30/8/2015,Temperatura,28.36
31/8/2015,Temperatura,25.93
1/9/2015,Temperatura,27.17
2/9/2015,Temperatura,27.71
3/9/2015,Temperatura,27.85
4/9/2015,Temperatura,27.55
5/9/2015,Temperatura,28.79
6/9/2015,Temperatura,28.26
7/9/2015,Temperatura,29.89
8/9/2015,Temperatura,29.12
9/9/2015,Temperatura,29.25
10/9/2015,Temperatura,27.09
11/9/2015,Temperatura,27.82
12/9/2015,Temperatura,26.68
13/9/2015,Temperatura,27.49
14/9/2015,Temperatura,28.16
15/9/2015,Temperatura,29.26
16/9/2015,Temperatura,29.78
17/9/2015,Temperatura,28.01
18/9/2015,Temperatura,25.9
19/9/2015,Temperatura,26.38
20/9/2015,Temperatura,28.81
21/9/2015,Temperatura,27.8
22/9/2015,Temperatura,26.45
23/9/2015,Temperatura,25.2
24/9/2015,Temperatura,25.73
25/9/2015,Temperatura,26.24
26/9/2015,Temperatura,27.26
27/9/2015,Temperatura,26.5
28/9/2015,Temperatura,27.08
29/9/2015,Temperatura,28.55
30/9/2015,Temperatura,26.56
1/10/2015,Temperatura,26.75
2/10/2015,Temperatura,25.96
3/10/2015,Temperatura,25.95
4/10/2015,Temperatura,27.18
5/10/2015,Temperatura,28.07
6/10/2015,Temperatura,28.65
7/10/2015,Temperatura,28.63
8/10/2015,Temperatura,28.17
9/10/2015,Temperatura,27.25
10/10/2015,Temperatura,27.67
11/10/2015,Temperatura,27.16
12/10/2015,Temperatura,25.19
13/10/2015,Temperatura,26.52
14/10/2015,Temperatura,26.68
15/10/2015,Temperatura,26.83
16/10/2015,Temperatura,26.39
17/10/2015,Temperatura,26.23
18/10/2015,Temperatura,26.4
19/10/2015,Temperatura,26.62
20/10/2015,Temperatura,26.32
21/10/2015,Temperatura,25.7
22/10/2015,Temperatura,27.7
23/10/2015,Temperatura,27.28
24/10/2015,Temperatura,26.25
25/10/2015,Temperatura,26.17
26/10/2015,Temperatura,26.34
27/10/2015,Temperatura,25.23
28/10/2015,Temperatura,25.81
29/10/2015,Temperatura,26.95
30/10/2015,Temperatura,26.84
31/10/2015,Temperatura,27.5
1/11/2015,Temperatura,26.52
2/11/2015,Temperatura,26.21
3/11/2015,Temperatura,26.35
4/11/2015,Temperatura,26.28
5/11/2015,Temperatura,25.19
6/11/2015,Temperatura,26.53
7/11/2015,Temperatura,27.34
8/11/2015,Temperatura,27.2
9/11/2015,Temperatura,27.14
10/11/2015,Temperatura,26.05
11/11/2015,Temperatura,26.26
12/11/2015,Temperatura,26.69
13/11/2015,Temperatura,27.35
14/11/2015,Temperatura,27.87
15/11/2015,Temperatura,27.11
16/11/2015,Temperatura,26.51
17/11/2015,Temperatura,25.37
18/11/2015,Temperatura,26.13
19/11/2015,Temperatura,26.44
20/11/2015,Temperatura,25.72
21/11/2015,Temperatura,26.16
22/11/2015,Temperatura,25.43
23/11/2015,Temperatura,26.79
24/11/2015,Temperatura,27.94
25/11/2015,Temperatura,26.94
26/11/2015,Temperatura,28.22
27/11/2015,Temperatura,28.15
28/11/2015,Temperatura,27.83
29/11/2015,Temperatura,27.19
30/11/2015,Temperatura,25.71
1/12/2015,Temperatura,26.54
2/12/2015,Temperatura,25.99
3/12/2015,Temperatura,27.26
4/12/2015,Temperatura,28.4
5/12/2015,Temperatura,27.2
6/12/2015,Temperatura,28.38
7/12/2015,Temperatura,28.9
8/12/2015,Temperatura,27.2
9/12/2015,Temperatura,27.36
10/12/2015,Temperatura,26.77
11/12/2015,Temperatura,27.52
